name,price,rw
"realme 10 Pro 5G (Hyperspace, 128 GB)","₹18,999","13,237 Ratings & 965 Reviews"
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹9,249","6,883 Ratings & 219 Reviews"
"MOTOROLA G32 (Mineral Gray, 64 GB)","₹10,499","33,397 Ratings & 3,080 Reviews"
"MOTOROLA g22 (Cosmic Black, 64 GB)","₹9,499","31,734 Ratings & 3,608 Reviews"
"REDMI A1 (Light Blue, 32 GB)","₹6,478","5,568 Ratings & 255 Reviews"
"REDMI 10 (Pacific Blue, 64 GB)","₹9,999","2,08,403 Ratings & 13,149 Reviews"
"Infinix Smart 6 HD (Aqua Sky, 32 GB)","₹5,999","27,626 Ratings & 1,543 Reviews"
"OPPO A17k (Blue, 64 GB)","₹9,499","2,626 Ratings & 72 Reviews"
"MOTOROLA g52 (Metallic White, 128 GB)","₹12,999","33,223 Ratings & 3,684 Reviews"
GREENBERRI G370,"₹1,299",
"APPLE iPhone 14 (Purple, 128 GB)","₹71,999","26,595 Ratings & 1,047 Reviews"
"POCO M4 5G (Yellow, 64 GB)","₹12,999","62,247 Ratings & 4,525 Reviews"
"Infinix Smart 6 HD (Origin Blue, 32 GB)","₹5,999","27,626 Ratings & 1,543 Reviews"
"REDMI A1 (Black, 32 GB)","₹6,416","5,568 Ratings & 255 Reviews"
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹16,999","1,75,179 Ratings & 13,772 Reviews"
"REDMI 10 (Shadow Black, 64 GB)","₹9,999","2,08,403 Ratings & 13,149 Reviews"
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹14,490",351 Ratings & 0 Reviews
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹10,999","1,33,852 Ratings & 7,609 Reviews"
"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)","₹11,999","1,33,852 Ratings & 7,609 Reviews"
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹14,490",351 Ratings & 0 Reviews
"APPLE iPhone 14 (Midnight, 128 GB)","₹71,999","26,595 Ratings & 1,047 Reviews"
"REDMI 10 (Pacific Blue, 128 GB)","₹11,999","27,867 Ratings & 1,943 Reviews"
"REDMI A1+ (Light Blue, 32 GB)","₹6,999",798 Ratings & 56 Reviews
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹16,999","1,75,179 Ratings & 13,772 Reviews"
"REDMI A1 (Light Green, 32 GB)","₹6,426","5,568 Ratings & 255 Reviews"
"vivo T1 44W (Midnight Galaxy, 128 GB)","₹15,999","55,850 Ratings & 3,920 Reviews"
"POCO C50 (Country Green, 32 GB)","₹6,499","12,295 Ratings & 439 Reviews"
"vivo T1 44W (Starry Sky, 128 GB)","₹15,999","55,850 Ratings & 3,920 Reviews"
"vivo T1 44W (Midnight Galaxy, 128 GB)","₹14,499","97,899 Ratings & 6,493 Reviews"
"MOTOROLA g73 5G (Midnight Blue, 128 GB)","₹18,999","3,344 Ratings & 554 Reviews"
